
  Vtrue,_ktas |   _Vind,_kias |   Vtrue,__mph |   _Vind,__mph |   __VVI,__fpm |   Vtotl,_ktas |   Vtotl,__mph |   _Mach,ratio |   Gload,norml |   Gload,axial |   Gload,_side |   _Qdot,_d/ss |   _Pdot,_d/ss |   _Rdot,_d/ss |   ____Q,__d/s |   ____P,__d/s |   ____R,__d/s |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   __mag,_comp |   mavar,__deg |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   __alt,__ind |   __lat,south |   __lon,_west | 
    297.82126 |     233.77251 |     342.72659 |     269.02060 |    2035.41528 |     297.82123 |     342.72656 |       0.47211 |       0.98349 |       0.15812 |       0.00002 |      -0.00000 |       0.01258 |       0.00033 |      -0.01108 |       0.00013 |       0.00002 |       8.49097 |       0.14733 |     337.23718 |     342.11270 |     342.17535 |       4.87553 |      26.18706 |     -80.41143 |   16710.23633 |   16679.71875 |   16667.41992 |      25.00000 |     -82.00000 | 
    297.98383 |     233.77309 |     342.91367 |     269.02127 |    2031.56104 |     297.98383 |     342.91367 |       0.47242 |       0.98360 |       0.15796 |       0.00002 |      -0.00352 |       0.01260 |       0.00043 |      -0.01082 |       0.00011 |       0.00006 |       8.48031 |       0.14730 |     337.23718 |     342.11258 |     342.17520 |       4.87539 |      26.18832 |     -80.41203 |   16744.14844 |   16714.04883 |   16701.33203 |      25.00000 |     -82.00000 | 
    298.14648 |     233.77365 |     343.10086 |     269.02191 |    2027.78723 |     298.14648 |     343.10086 |       0.47274 |       0.98358 |       0.15778 |       0.00002 |      -0.00069 |       0.01274 |       0.00039 |      -0.01172 |       0.00011 |       0.00011 |       8.46911 |       0.14726 |     337.23724 |     342.11249 |     342.17502 |       4.87525 |      26.18959 |     -80.41261 |   16778.00586 |   16748.28320 |   16735.19336 |      25.00000 |     -82.00000 | 
    298.30884 |     233.77365 |     343.28772 |     269.02191 |    2023.99524 |     298.30884 |     343.28772 |       0.47306 |       0.98366 |       0.15761 |       0.00002 |      -0.00701 |       0.01279 |       0.00023 |      -0.01138 |       0.00013 |       0.00007 |       8.45822 |       0.14722 |     337.23734 |     342.11246 |     342.17480 |       4.87511 |      26.19086 |     -80.41321 |   16811.77344 |   16782.97266 |   16768.96484 |      25.00000 |     -82.00000 | 
    298.46976 |     233.77423 |     343.47287 |     269.02258 |    2020.22839 |     298.46979 |     343.47290 |       0.47337 |       0.98366 |       0.15744 |       0.00002 |      -0.00323 |       0.01307 |       0.00038 |      -0.01067 |       0.00013 |      -0.00001 |       8.44719 |       0.14719 |     337.23730 |     342.11227 |     342.17471 |       4.87497 |      26.19212 |     -80.41380 |   16845.26953 |   16816.82227 |   16802.37695 |      25.00000 |     -82.00000 | 
    298.63153 |     233.77423 |     343.65903 |     269.02258 |    2016.44946 |     298.63156 |     343.65906 |       0.47369 |       0.98363 |       0.15727 |       0.00002 |      -0.00249 |       0.01309 |       0.00049 |      -0.01160 |       0.00012 |       0.00008 |       8.43576 |       0.14714 |     337.23727 |     342.11212 |     342.17459 |       4.87483 |      26.19339 |     -80.41439 |   16878.87695 |   16850.78906 |   16835.98828 |      25.00000 |     -82.00000 | 
    298.79282 |     233.77480 |     343.84467 |     269.02322 |    2012.61340 |     298.79282 |     343.84467 |       0.47401 |       0.98371 |       0.15710 |       0.00002 |      -0.00656 |       0.01319 |       0.00021 |      -0.01088 |       0.00015 |       0.00008 |       8.42498 |       0.14711 |     337.23737 |     342.11206 |     342.17444 |       4.87469 |      26.19466 |     -80.41499 |   16912.32422 |   16884.44922 |   16869.45898 |      25.00000 |     -82.00000 | 
    298.95120 |     233.77480 |     344.02692 |     269.02322 |    2008.86255 |     298.95120 |     344.02692 |       0.47432 |       0.98364 |       0.15692 |       0.00002 |      -0.00260 |       0.01315 |       0.00034 |      -0.01176 |       0.00014 |       0.00001 |       8.41347 |       0.14710 |     337.23734 |     342.11188 |     342.17435 |       4.87456 |      26.19590 |     -80.41557 |   16945.14648 |   16917.06641 |   16902.31445 |      25.00000 |     -82.00000 | 
    299.11615 |     233.77536 |     344.21674 |     269.02390 |    2004.85999 |     299.11615 |     344.21674 |       0.47464 |       0.98366 |       0.15675 |       0.00002 |      -0.00130 |       0.01312 |       0.00045 |      -0.01070 |       0.00013 |       0.00006 |       8.40200 |       0.14706 |     337.23730 |     342.11172 |     342.17435 |       4.87442 |      26.19720 |     -80.41617 |   16979.16602 |   16948.45117 |   16936.35156 |      25.00000 |     -82.00000 | 
    299.27988 |     233.77536 |     344.40515 |     269.02390 |    2000.91492 |     299.27988 |     344.40515 |       0.47496 |       0.98375 |       0.15659 |       0.00002 |      -0.00502 |       0.01315 |       0.00031 |      -0.01195 |       0.00015 |       0.00006 |       8.39107 |       0.14705 |     337.23737 |     342.11163 |     342.17410 |       4.87428 |      26.19848 |     -80.41677 |   17012.89258 |   16976.98242 |   16970.09180 |      25.00000 |     -82.00000 | 
